	Over	Runs	Wickets
484	7.0	23.0	0.0
485	8.0	14.0	0.0
486	9.0	11.0	0.0
487	10.0	22.0	0.0
488	11.0	17.0	0.0
489	12.0	8.0	0.0
490	1.0	8.0	0.0
491	2.0	3.0	1.0
492	3.0	6.0	1.0
493	4.0	12.0	0.0
494	5.0	11.0	0.0
495	6.0	5.0	1.0
496	7.0	9.0	0.0
497	8.0	4.0	1.0
498	9.0	2.0	0.0
499	10.0	9.0	0.0
500	11.0	12.0	0.0
501	12.0	7.0	1.0
502	13.0	6.0	0.0
503	14.0	4.0	0.0
504	15.0	9.0	0.0
505	16.0	15.0	0.0
506	17.0	6.0	1.0
507	18.0	11.0	1.0
508	19.0	13.0	0.0
509	20.0	6.0	1.0
510	1.0	2.0	1.0
511	2.0	9.0	1.0
512	3.0	10.0	0.0
513	4.0	13.0	0.0
514	5.0	9.0	0.0
515	6.0	12.0	0.0
516	7.0	7.0	0.0
517	8.0	8.0	1.0
518	9.0	5.0	0.0
519	10.0	6.0	0.0
520	11.0	8.0	0.0
521	12.0	14.0	0.0
522	13.0	11.0	0.0
523	14.0	5.0	1.0
524	15.0	4.0	0.0
525	16.0	10.0	0.0
526	17.0	9.0	1.0
527	18.0	13.0	1.0
528	19.0	3.0	0.0
529	20.0	4.0	0.0
530	1.0	1.0	0.0
531	2.0	10.0	0.0
532	3.0	7.0	0.0
533	4.0	4.0	1.0
534	5.0	3.0	0.0
535	6.0	11.0	0.0
536	7.0	7.0	1.0
537	8.0	7.0	0.0
538	9.0	10.0	0.0
539	10.0	5.0	0.0
540	11.0	7.0	0.0
541	12.0	11.0	1.0
542	13.0	3.0	0.0
543	14.0	8.0	0.0
544	15.0	8.0	0.0
545	16.0	14.0	0.0
546	17.0	16.0	0.0
547	18.0	8.0	0.0
548	19.0	24.0	0.0
549	20.0	14.0	2.0
550	1.0	6.0	0.0
551	2.0	6.0	0.0
552	3.0	1.0	0.0
553	4.0	7.0	1.0
554	5.0	12.0	0.0
555	6.0	13.0	0.0
556	7.0	11.0	0.0
557	8.0	13.0	0.0
558	9.0	13.0	0.0
559	10.0	11.0	0.0
560	11.0	9.0	1.0
561	12.0	9.0	0.0
562	13.0	8.0	0.0
563	14.0	8.0	0.0
564	15.0	5.0	1.0
565	16.0	8.0	1.0
566	17.0	8.0	2.0
567	18.0	6.0	1.0
568	19.0	8.0	2.0
569	20.0	3.0	1.0
570	1.0	6.0	2.0
571	2.0	9.0	0.0
572	3.0	7.0	0.0
573	4.0	11.0	0.0
574	5.0	5.0	0.0
575	6.0	2.0	1.0
576	7.0	7.0	0.0
577	8.0	2.0	0.0
578	9.0	6.0	0.0
579	10.0	5.0	0.0
580	11.0	11.0	0.0
581	12.0	3.0	1.0
582	13.0	3.0	0.0
583	14.0	0.0	2.0
584	15.0	10.0	0.0
585	16.0	6.0	1.0
586	17.0	11.0	0.0
587	18.0	14.0	0.0
588	19.0	8.0	0.0
